,sku,quantity,servicelevel,productiondays,price,@material,@printing,@size
26,FL-170S-VK-40,25,express,0,16.54,170gsilk,oneside,carresmall
27,FL-170S-VK-40,25,standard,2,15.04,170gsilk,oneside,carresmall
31,FL-170S-VK-40,25,saver,4,14.29,170gsilk,oneside,carresmall
51,FL-170S-A6-40,25,saver,4,14.29,170gsilk,oneside,a6
52,FL-170S-VG-40,25,saver,4,14.46,170gsilk,oneside,carrelarge
53,FL-170S-VG-40,25,standard,2,15.23,170gsilk,oneside,carrelarge
54,FL-170S-VG-40,25,express,0,17.64,170gsilk,oneside,carrelarge
68,FL-170S-A6-40,25,standard,2,15.04,170gsilk,oneside,a6
77,FL-170S-XL-44,25,saver,4,15.45,170gsilk,bothsides,xlong
78,FL-170S-XL-44,25,standard,2,20.23,170gsilk,bothsides,xlong
82,FL-170S-XL-44,25,express,0,24.83,170gsilk,bothsides,xlong
86,FL-170S-US-40,25,express,0,17.57,170gsilk,oneside,us
87,FL-170S-US-40,25,standard,2,15.33,170gsilk,oneside,us
91,FL-170S-US-40,25,saver,4,14.56,170gsilk,oneside,us
99,FL-170S-VM-44,25,saver,4,15.04,170gsilk,bothsides,carremedium
112,FL-170S-VM-44,25,standard,2,15.83,170gsilk,bothsides,carremedium
113,FL-170S-VM-44,25,express,0,17.41,170gsilk,bothsides,carremedium
114,FL-170S-VK-44,25,saver,4,15.04,170gsilk,bothsides,carresmall
134,FL-170S-VG-44,25,saver,4,15.98,170gsilk,bothsides,carrelarge
135,FL-170S-VG-44,25,standard,2,16.82,170gsilk,bothsides,carrelarge
139,FL-170S-VG-44,25,express,0,18.5,170gsilk,bothsides,carrelarge
146,FL-170S-VK-44,25,express,0,17.41,170gsilk,bothsides,carresmall
192,FL-170S-VK-44,25,standard,2,15.83,170gsilk,bothsides,carresmall
195,FL-170S-A6-40,25,express,0,16.54,170gsilk,oneside,a6
196,FL-170S-AL-44,25,saver,4,14.53,170gsilk,bothsides,along
197,FL-170S-AL-44,25,standard,2,19.31,170gsilk,bothsides,along
198,FL-170S-AL-44,25,express,0,23.91,170gsilk,bothsides,along
206,FL-170S-VM-40,25,standard,2,14.95,170gsilk,oneside,carremedium
216,FL-170S-VM-40,25,saver,4,14.19,170gsilk,oneside,carremedium
230,FL-170S-A5-40,25,express,0,16.54,170gsilk,oneside,a5
238,FL-170S-VM-40,25,express,0,16.54,170gsilk,oneside,carremedium
269,FL-170S-A7-40,25,saver,4,11.49,170gsilk,oneside,a7
270,FL-170S-A7-40,25,standard,2,12.12,170gsilk,oneside,a7
274,FL-170S-A7-40,25,express,0,14.02,170gsilk,oneside,a7
299,FL-170S-A4-44,25,standard,2,16.82,170gsilk,bothsides,a4
300,FL-170S-A4-44,25,saver,4,15.98,170gsilk,bothsides,a4
329,FL-170S-A4-44,25,express,0,18.5,170gsilk,bothsides,a4
352,FL-170S-A5-40,25,saver,4,14.29,170gsilk,oneside,a5
358,FL-170S-A5-40,25,standard,2,15.04,170gsilk,oneside,a5
392,FL-170S-A5-44,25,express,0,17.41,170gsilk,bothsides,a5
401,FL-170S-A5-44,25,standard,2,15.83,170gsilk,bothsides,a5
413,FL-170S-A5-44,25,saver,4,15.04,170gsilk,bothsides,a5
423,FL-170S-US-44,25,express,0,18.5,170gsilk,bothsides,us
424,FL-170S-US-44,25,standard,2,16.61,170gsilk,bothsides,us
425,FL-170S-US-44,25,saver,4,15.78,170gsilk,bothsides,us
443,FL-170S-A4-40,25,standard,2,15.98,170gsilk,oneside,a4
467,FL-170S-AL-40,25,express,0,23.45,170gsilk,oneside,along
468,FL-170S-AL-40,25,standard,2,18.85,170gsilk,oneside,along
469,FL-170S-AL-40,25,saver,4,14.07,170gsilk,oneside,along
485,FL-170S-A4-40,25,saver,4,15.18,170gsilk,oneside,a4
504,FL-170S-A6-44,25,express,0,17.41,170gsilk,bothsides,a6
505,FL-170S-A6-44,25,standard,2,15.83,170gsilk,bothsides,a6
506,FL-170S-A6-44,25,saver,4,15.04,170gsilk,bothsides,a6
548,FL-170S-A7-44,25,saver,4,12.69,170gsilk,bothsides,a7
560,FL-170S-A7-44,25,standard,2,13.36,170gsilk,bothsides,a7
561,FL-170S-A7-44,25,express,0,15.46,170gsilk,bothsides,a7
607,FL-170S-XL-40,25,saver,4,14.71,170gsilk,oneside,xlong
633,FL-170S-XL-40,25,standard,2,19.31,170gsilk,oneside,xlong
661,FL-170S-XL-40,25,express,0,23.91,170gsilk,oneside,xlong
772,FL-170S-A4-40,25,express,0,17.57,170gsilk,oneside,a4
780,FL-170S-A4-40,50,express,0,19.65,170gsilk,oneside,a4
814,FL-170S-A7-44,50,express,0,15.63,170gsilk,bothsides,a7
815,FL-170S-A7-44,50,standard,2,13.51,170gsilk,bothsides,a7
817,FL-170S-A7-44,50,saver,4,12.83,170gsilk,bothsides,a7
830,FL-170S-A4-44,50,standard,2,18.8,170gsilk,bothsides,a4
831,FL-170S-A4-44,50,saver,4,17.86,170gsilk,bothsides,a4
838,FL-170S-VM-40,50,express,0,17.57,170gsilk,oneside,carremedium
839,FL-170S-VM-40,50,standard,2,15.98,170gsilk,oneside,carremedium
840,FL-170S-VM-40,50,saver,4,15.18,170gsilk,oneside,carremedium
847,FL-170S-A4-44,50,express,0,20.68,170gsilk,bothsides,a4
851,FL-170S-A4-40,50,standard,2,17.86,170gsilk,oneside,a4
870,FL-170S-A4-40,50,saver,4,16.97,170gsilk,oneside,a4
915,FL-170S-VG-44,50,saver,4,17.86,170gsilk,bothsides,carrelarge
916,FL-170S-VG-44,50,express,0,20.68,170gsilk,bothsides,carrelarge
922,FL-170S-VG-44,50,standard,2,18.8,170gsilk,bothsides,carrelarge
926,FL-170S-XL-40,50,saver,4,15.91,170gsilk,oneside,xlong
